shift,date,age,latitude,longitude,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,unique_squirrel_id
PM,2018-10-07 00:00:00,Adult,40.7689486657963,-73.9741824992294,Gray,Ground Plane,,false,false,false,false,false,hiding nut,false,false,false,false,true,false,true,false,5F-PM-1007-03
PM,2018-10-14 00:00:00,Adult,40.7761393551781,-73.9749243901189,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,11B-PM-1014-05
PM,2018-10-18 00:00:00,Adult,40.7780143443779,-73.968381325559,Cinnamon,Ground Plane,On a rock,false,false,false,false,true,,false,false,false,false,true,false,true,false,16E-PM-1018-06
AM,2018-10-07 00:00:00,Adult,40.7755898126674,-73.9694240327509,Cinnamon,,,false,false,false,true,true,,false,false,false,false,false,false,true,false,13F-AM-1007-02
PM,2018-10-13 00:00:00,Adult,40.7828364735236,-73.9689000978955,Gray,Ground Plane,,false,false,false,false,true,drank from a pond of rain water,false,false,false,false,false,false,true,false,20B-PM-1013-10
PM,2018-10-17 00:00:00,Adult,40.7696753655986,-73.9804528867547,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false,3A-PM-1017-05
PM,2018-10-06 00:00:00,Adult,40.7873862510001,-73.9576245992455,Gray,Above Ground,,false,false,true,false,false,sitting,false,false,false,false,false,false,true,false,29H-PM-1006-01
PM,2018-10-14 00:00:00,Adult,40.7845098131567,-73.9666007935638,Gray,Above Ground,,false,true,false,false,false,chasing (#4 across trees),false,false,false,false,false,false,false,false,23C-PM-1014-03
PM,2018-10-07 00:00:00,Adult,40.7922645521905,-73.96148483609,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false,33C-PM-1007-03
PM,2018-10-20 00:00:00,Adult,40.7947639241491,-73.9546654184146,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,true,false,false,true,false,38G-PM-1020-09
PM,2018-10-17 00:00:00,Adult,40.7768804702473,-73.9667114027214,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,16G-PM-1017-01
PM,2018-10-07 00:00:00,Adult,40.7921822457613,-73.9530035564643,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,36I-PM-1007-07
AM,2018-10-14 00:00:00,Adult,40.7951278622399,-73.9615696577673,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,35A-AM-1014-03
PM,2018-10-06 00:00:00,Adult,40.7883840104749,-73.964474836001,Gray,Ground Plane,,false,false,false,false,false,gathering acorns,false,false,false,true,false,false,false,true,28C-PM-1006-01
AM,2018-10-13 00:00:00,Adult,40.7914829661051,-73.9610705592868,Cinnamon,Ground Plane,,true,false,false,true,true,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",false,false,false,false,true,true,false,false,32D-AM-1013-06
AM,2018-10-08 00:00:00,Adult,40.7845301288163,-73.9688454483585,Gray,Above Ground,trash can,false,false,false,true,false,,false,false,false,true,false,false,false,true,22A-AM-1008-05
PM,2018-10-14 00:00:00,Adult,40.7980959471034,-73.9578237168359,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,true,false,40B-PM-1014-06
PM,2018-10-18 00:00:00,Adult,40.7809719445309,-73.9688271202401,Gray,Ground Plane,,true,true,false,true,false,,false,false,false,false,true,false,true,false,19C-PM-1018-01
PM,2018-10-13 00:00:00,Adult,40.7944585082367,-73.9617088749928,Cinnamon,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,true,35A-PM-1013-06
AM,2018-10-08 00:00:00,Adult,40.7766530579293,-73.9701824825872,Gray,Ground Plane,,true,true,false,false,false,,true,false,false,false,false,false,false,true,14E-AM-1008-09
PM,2018-10-19 00:00:00,Adult,40.7766043512974,-73.9676410497481,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false,15G-PM-1019-05
AM,2018-10-07 00:00:00,Adult,40.7723572030236,-73.9708726050721,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false,10F-AM-1007-02
PM,2018-10-12 00:00:00,Adult,40.7982162223764,-73.9541453465817,Cinnamon,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,false,true,42E-PM-1012-06
AM,2018-10-13 00:00:00,Adult,40.7842927405327,-73.9683608295976,Cinnamon,Ground Plane,Under bench,false,false,false,false,true,,false,false,false,false,false,false,false,true,22B-AM-1013-04
PM,2018-10-10 00:00:00,Adult,40.777338666528,-73.968052057989,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,15F-PM-1010-06
AM,2018-10-06 00:00:00,Adult,40.7715877863274,-73.9787180870736,Gray,Ground Plane,near 65th St arch,false,false,false,false,true,,false,false,false,true,false,false,false,true,5A-AM-1006-05
PM,2018-10-06 00:00:00,,40.7895654068546,-73.9565905868276,Gray,Above Ground,in the European Beech,false,false,true,false,false,,false,false,false,false,false,false,false,false,32H-PM-1006-01
AM,2018-10-07 00:00:00,,40.7992461674802,-73.9565759733611,,,,false,false,false,false,false,,false,true,false,false,false,false,false,false,42C-AM-1007-02
AM,2018-10-14 00:00:00,Adult,40.7987384656256,-73.9551539498306,Gray,Ground Plane,,false,false,false,false,true,digging,false,false,false,false,false,false,true,false,41D-AM-1014-01
PM,2018-10-07 00:00:00,Adult,40.7813537959435,-73.9641971813967,Gray,Ground Plane,,false,false,false,true,false,,false,false,false,true,false,false,true,false,21G-PM-1007-01
AM,2018-10-08 00:00:00,Adult,40.7768553703082,-73.9692883970928,Gray,Ground Plane,,true,false,false,false,true,walking,false,false,false,false,false,false,false,true,14E-AM-1008-02
PM,2018-10-06 00:00:00,Adult,40.7699587019058,-73.9708549670788,Gray,Above Ground,on tree knob,false,false,false,false,false,sitting,false,false,false,false,false,false,true,false,7H-PM-1006-04
AM,2018-10-07 00:00:00,Adult,40.7825111950764,-73.9639744005647,Gray,Ground Plane,,false,false,true,false,true,,false,false,false,false,false,false,true,false,22F-AM-1007-01
AM,2018-10-08 00:00:00,Juvenile,40.7712145488828,-73.9730277911422,Gray,Above Ground,tree,false,false,false,false,false,,false,false,false,false,false,false,false,true,7F-AM-1008-16
PM,2018-10-19 00:00:00,Adult,40.7724691605718,-73.9710541405708,Black,Above Ground,"Behind fence, tree",false,false,true,false,false,,false,false,false,false,false,false,true,false,10F-PM-1019-05
AM,2018-10-06 00:00:00,Juvenile,40.7747213585387,-73.9761592532482,Gray,Above Ground,tree near large rock on Bridle Path,false,false,false,false,false,walking on branch,false,false,false,false,true,false,false,false,10A-AM-1006-04
PM,2018-10-13 00:00:00,Juvenile,40.7950689723135,-73.9544007658685,Gray,Ground Plane,,false,false,false,false,true,"being chased,was pushed by other squirrel",true,true,false,false,false,false,false,false,38F-PM-1013-05
PM,2018-10-14 00:00:00,Adult,40.799368134968,-73.9575986161364,Gray,Above Ground,Climbing tree,false,false,true,false,false,climbing (tree),false,false,false,false,false,false,false,true,41B-PM-1014-01
PM,2018-10-13 00:00:00,,40.7955418990855,-73.9607701370443,Gray,Ground Plane,"""FIELD""",false,true,false,false,false,chasing #8,false,false,false,false,false,false,false,true,36A-PM-1013-07
AM,2018-10-06 00:00:00,Adult,40.7705846185121,-73.9764036522984,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,5C-AM-1006-05
PM,2018-10-17 00:00:00,Adult,40.7908193284981,-73.9589249555235,Gray,Above Ground,bottom of tree,false,false,false,true,false,still,false,false,false,false,false,false,true,false,32E-PM-1017-03
PM,2018-10-17 00:00:00,Adult,40.7917685404482,-73.9634623418761,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,false,false,false,false,31A-PM-1017-04
AM,2018-10-18 00:00:00,Adult,40.7978449143313,-73.9521110154872,Gray,Ground Plane,,true,false,false,false,false,stop to look at me—then ran,false,false,false,false,false,false,false,true,42G-AM-1018-03
PM,2018-10-14 00:00:00,Adult,40.7950013620207,-73.9574809028248,Gray,Ground Plane,,false,true,false,false,true,chasing (a chipmunk),false,false,false,false,false,false,false,true,37D-PM-1014-04
AM,2018-10-13 00:00:00,,40.7854119342538,-73.967097592707,Gray,Above Ground,,true,false,false,true,false,took nut to bury,false,false,false,false,true,false,false,true,24B-AM-1013-01
AM,2018-10-10 00:00:00,Adult,40.7701941550273,-73.9711318790279,Gray,Above Ground,,true,false,false,false,false,,false,false,false,false,true,false,false,true,7G-AM-1010-02
PM,2018-10-10 00:00:00,Adult,40.7705409315703,-73.9763243383771,Gray,Above Ground,way up a tree!,false,false,true,false,false,,false,false,false,false,false,false,false,false,5C-PM-1010-13
AM,2018-10-08 00:00:00,Adult,40.7755181941559,-73.9651754464439,Gray,Above Ground,tree,false,false,true,true,false,,false,false,false,false,false,false,true,false,15I-AM-1008-01
PM,2018-10-18 00:00:00,Adult,40.7815739959357,-73.9700100617602,Gray,Above Ground,,true,false,false,false,false,flying,false,false,false,false,false,false,false,false,19B-PM-1018-01
PM,2018-10-18 00:00:00,Adult,40.776238547063,-73.971905618214,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false,13D-PM-1018-10
PM,2018-10-07 00:00:00,Juvenile,40.7922896176936,-73.9530040923555,Gray,Ground Plane,,false,false,false,true,false,stole (found?) an entire sandwich,false,false,false,false,false,false,true,false,36I-PM-1007-10
AM,2018-10-10 00:00:00,Adult,40.7988487300216,-73.9572093760529,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,false,41B-AM-1010-06
AM,2018-10-10 00:00:00,Adult,40.7939581069382,-73.9607746337979,Gray,Ground Plane,lawn,false,false,false,false,false,walking w/ something in mouth,false,false,false,false,false,false,true,false,35B-AM-1010-01
PM,2018-10-13 00:00:00,Adult,40.7973923396512,-73.9566346046453,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,false,40D-PM-1013-01
PM,2018-10-18 00:00:00,Adult,40.796382675378,-73.9592038887673,Gray,Ground Plane,,false,false,false,false,true,burying nut,false,false,false,false,false,false,false,false,38B-PM-1018-02
AM,2018-10-18 00:00:00,Adult,40.7950813345902,-73.9511118711108,Cinnamon,Ground Plane,,true,false,false,false,true,begging,false,false,false,false,false,false,false,false,40I-AM-1018-01
AM,2018-10-08 00:00:00,Adult,40.7729537573035,-73.9769939796382,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,7B-AM-1008-10
AM,2018-10-14 00:00:00,Adult,40.7763310392591,-73.9712527809516,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true,13D-AM-1014-08
AM,2018-10-10 00:00:00,Adult,40.7772624641112,-73.9671147090087,Gray,Ground Plane,,false,false,false,false,true,was hanging out w/ #2 until i showed up,true,false,false,false,false,false,false,true,16G-AM-1010-03
AM,2018-10-10 00:00:00,Adult,40.7982597947515,-73.9588660250232,Gray,Ground Plane,bottom of great hill,false,false,false,true,true,,false,false,false,true,false,false,true,true,40A-AM-1010-03
PM,2018-10-12 00:00:00,Adult,40.7761841788025,-73.9651601541795,Cinnamon,Ground Plane,,true,false,false,false,true,,false,false,false,false,false,false,false,false,15I-PM-1012-07
PM,2018-10-07 00:00:00,Adult,40.7693711799946,-73.9792155473689,Gray,Above Ground,in tree,false,false,true,false,false,,false,false,false,false,false,false,false,false,3B-PM-1007-11
AM,2018-10-08 00:00:00,Adult,40.7828778892276,-73.9664100504436,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,true,false,true,false,21D-AM-1008-02
PM,2018-10-14 00:00:00,Adult,40.7748467061969,-73.9746229094643,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,true,false,false,false,10B-PM-1014-05
PM,2018-10-08 00:00:00,Adult,40.7761092972965,-73.9705092958892,Gray,Ground Plane,,false,false,false,true,true,,false,false,false,false,false,false,true,false,13E-PM-1008-07
PM,2018-10-07 00:00:00,Adult,40.7997708190022,-73.9581655949437,Black,Ground Plane,,true,false,true,true,false,,false,false,false,false,false,false,false,true,41A-PM-1007-06
AM,2018-10-06 00:00:00,Adult,40.7662992317575,-73.9755560786227,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false,2F-AM-1006-05
AM,2018-10-07 00:00:00,Adult,40.7828208083804,-73.9696433533986,Gray,Ground Plane,,false,false,false,false,true,quietly,false,false,false,false,false,false,true,false,20B-AM-1007-01
PM,2018-10-06 00:00:00,Adult,40.787896428768,-73.9664711607022,Gray,Ground Plane,Tree 90th left 90th & 89,false,false,true,false,false,,false,false,false,true,false,false,false,false,26A-PM-1006-06
PM,2018-10-06 00:00:00,Adult,40.7933755266787,-73.9575943815564,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,true,35E-PM-1006-07
PM,2018-10-13 00:00:00,Adult,40.7728877377977,-73.9694168118643,Gray,Above Ground,In the Woods/Brush,false,false,true,false,true,,false,false,false,false,false,false,false,true,11G-PM-1013-01
PM,2018-10-07 00:00:00,Adult,40.7925807808307,-73.9528682507794,Gray,Ground Plane,,false,false,false,true,false,,false,false,false,false,true,true,false,false,36I-PM-1007-13
AM,2018-10-06 00:00:00,Adult,40.7724665036447,-73.9782417115139,Gray,Above Ground,in tree,false,false,false,false,true,,false,true,false,false,true,false,false,false,7A-AM-1006-01
PM,2018-10-18 00:00:00,Adult,40.7700750802317,-73.9721442939797,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false,7G-PM-1018-03
AM,2018-10-08 00:00:00,Adult,40.7769884612305,-73.969847380865,Gray,Above Ground,,false,false,true,false,false,nest building,false,false,false,false,false,false,true,false,14E-AM-1008-05
PM,2018-10-10 00:00:00,Adult,40.7684838168207,-73.9768652785664,Cinnamon,Ground Plane,,false,false,false,false,false,,false,false,false,false,false,false,false,false,3D-PM-1010-03
PM,2018-10-13 00:00:00,Adult,40.793758098573,-73.9590992841423,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,35D-PM-1013-09
PM,2018-10-12 00:00:00,Adult,40.7705711897977,-73.9724063986771,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,true,false,7F-PM-1012-01
PM,2018-10-13 00:00:00,Adult,40.7787872561177,-73.9661361310677,Gray,Ground Plane,,false,false,false,true,true,burying,false,false,false,false,false,false,false,true,18G-PM-1013-01
PM,2018-10-08 00:00:00,Adult,40.7701304211944,-73.9730750601212,Gray,Above Ground,,false,true,false,false,false,,false,false,false,false,false,false,false,false,6F-PM-1008-01
AM,2018-10-13 00:00:00,Adult,40.7720868124544,-73.971970670614,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false,9F-AM-1013-04
AM,2018-10-10 00:00:00,Adult,40.7951044378207,-73.95621174551,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,38E-AM-1010-09
AM,2018-10-13 00:00:00,Adult,40.7905423546155,-73.9564023626619,Gray,Above Ground,shelter in hole in tree,false,false,true,false,false,,false,false,false,false,false,false,true,true,33G-AM-1013-02
AM,2018-10-18 00:00:00,Adult,40.7952475548048,-73.9532620128307,Gray,Ground Plane,,false,false,false,false,false,dead (something ran over it),false,false,false,false,false,false,false,false,39G-AM-1018-01
PM,2018-10-13 00:00:00,Juvenile,40.7904409912437,-73.9576349321357,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false,32G-PM-1013-03
PM,2018-10-08 00:00:00,Adult,40.7686351097159,-73.9763430829342,Cinnamon,Above Ground,on tree facing downward,false,true,false,false,false,chased #12,true,false,false,true,false,false,false,true,4D-PM-1008-11
AM,2018-10-08 00:00:00,Adult,40.7694886645194,-73.9714789136757,Cinnamon,Ground Plane,,false,false,false,true,false,,false,false,false,false,false,false,false,false,6H-AM-1008-01
AM,2018-10-08 00:00:00,Adult,40.7697883435981,-73.9755133710665,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,true,false,5E-AM-1008-08
